"","Hamburg","Koeln","Frankfurt","Muenchen","Berlin"
"Hamburg",0,357,393,613,254
"Koeln",357,0,153,456,477
"Frankfurt",393,153,0,304,423
"Muenchen",613,456,304,0,504
"Berlin",254,477,423,504,0
