"","Hunde","Katzen"
"1",8,8
"2",5,4
"3",5,9
"4",4,4
"5",4,10
"6",9,7
"7",9,4
"8",9,10
"9",10,2
"10",8,2
"11",10,10
"12",10,4
"13",6,10
"14",6,10
"15",10,3
"16",7,10
"17",2,10
"18",7,10
"19",7,10
"20",6,5
"21",8,8
"22",10,0
"23",9,8
"24",9,10
"25",7,7
"26",10,0
"27",8,7
"28",7,7
"29",8,10
"30",10,10
"31",10,10
"32",10,5
"33",10,2
"34",3,8
"35",3,10
"36",9,2
"37",8,7
"38",6,9
"39",7,10
"40",10,10
"41",5,7
"42",8,6
"43",10,9
"44",10,0
"45",10,8
"46",7,9
"47",10,10
"48",5,8
"49",9,10
"50",7,6
